time_s,metric,value
0.0,material_in_total_mol,0.0
0.0,material_out_total_mol,0.0
0.0,material_bed_total_mol,1594.9199015144834
0.0,material_balance_error_mol,0.0
5.0,material_in_total_mol,3.925
5.0,material_out_total_mol,3.9247945805931037
5.0,material_bed_total_mol,1594.9201069338903
5.0,material_balance_error_mol,4.263256414560601e-14
5.0,material_in_total_mol,3.925
5.0,material_out_total_mol,3.9247945805931037
5.0,material_bed_total_mol,1594.9201069338903
5.0,material_balance_error_mol,4.263256414560601e-14
8.0,material_in_total_mol,6.473500133314462
8.0,material_out_total_mol,6.4570879247622734
8.0,material_bed_total_mol,1594.936313723036
8.0,material_balance_error_mol,3.490541189421492e-13
8.0,material_in_total_mol,6.473500133314462
8.0,material_out_total_mol,6.4570879247622734
8.0,material_bed_total_mol,1594.936313723036
8.0,material_balance_error_mol,3.490541189421492e-13
10.0,material_in_total_mol,8.387500136691834
10.0,material_out_total_mol,8.364967625991573
10.0,material_bed_total_mol,1594.9424340251835
10.0,material_balance_error_mol,-1.580957587066223e-13
10.0,material_in_total_mol,8.387500136691834
10.0,material_out_total_mol,8.364967625991573
10.0,material_bed_total_mol,1594.9424340251835
10.0,material_balance_error_mol,-1.580957587066223e-13
10.0,material_in_total_mol,8.387500136691834
10.0,material_out_total_mol,8.364967625991573
10.0,material_bed_total_mol,1594.9424340251835
10.0,material_balance_error_mol,-1.580957587066223e-13
12.0,material_in_total_mol,10.387500136691834
12.0,material_out_total_mol,10.259043378524295
12.0,material_bed_total_mol,1595.0483582726506
12.0,material_balance_error_mol,-3.3573144264664734e-13
12.0,material_in_total_mol,10.387500136691834
12.0,material_out_total_mol,10.259043378524295
12.0,material_bed_total_mol,1595.0483582726508
12.0,material_balance_error_mol,-1.0835776720341528e-13
20.0,material_in_total_mol,18.387500136691827
20.0,material_out_total_mol,17.74597098870854
20.0,material_bed_total_mol,1595.5614306624666
20.0,material_balance_error_mol,-9.592326932761353e-14
20.0,material_in_total_mol,18.387500136691827
20.0,material_out_total_mol,17.74597098870854
20.0,material_bed_total_mol,1595.5614306624668
20.0,material_balance_error_mol,1.3145040611561853e-13
20.0,material_in_total_mol,18.387500136691827
20.0,material_out_total_mol,17.74597098870854
20.0,material_bed_total_mol,1595.5614306624668
20.0,material_balance_error_mol,1.3145040611561853e-13
